True phone,1st predicted phone,2nd predicted phone,3rd predicted phone,4th predicted phone,5th predicted phone
dcl,dcl,v,kcl,tcl,bcl
r,r,er,axr,dx,aa
tcl,tcl,pcl,kcl,bcl,f
q,ax,l,eh,ah,ow
l,n,ax,m,l,w
k,k,p,g,hh,kcl
ax-h,iy,y,ux,ix,ih
ix,ix,ax,ih,l,ah
axr,n,eh,hv,ix,dx
k,iy,k,ix,ih,g
axr,r,axr,dx,l,er
nx,dx,ix,n,v,dh
g,p,k,g,b,pcl
ax,v,dx,b,p,dh
ux,ix,ih,ux,iy,dx
g,k,p,g,d,t
z,s,z,tcl,f,th
aw,ae,eh,ix,dx,ih
s,s,z,sh,t,ch
b,b,v,m,n,dh
v,v,b,dh,tcl,gcl
kcl,s,z,t,k,d
axr,r,axr,er,ix,eh
iy,iy,ix,ey,y,ih
t,s,z,f,tcl,th
v,m,v,bcl,n,b
q,v,b,ax,ix,w
ix,ix,ih,eh,ae,hv
ix,ix,eh,ih,dx,ax
s,s,z,ch,th,t
z,s,z,sh,tcl,ch
dx,bcl,m,dcl,n,dx
w,ao,w,l,el,aa
ao,w,l,ao,el,ax
axr,eh,ix,ih,axr,r
ix,ih,ix,ae,eh,hv
ey,iy,ix,ey,eh,ae
n,n,ix,ih,dcl,en
eh,eh,ih,ae,hv,ix
p,b,d,p,v,ix
k,s,k,z,d,tcl
ao,w,l,ao,el,ax
eh,ae,eh,ih,ix,ey
n,ix,n,iy,ux,gcl
hh,p,f,k,b,t
ah,ax,ah,l,ix,eh
jh,s,sh,ch,t,z
d,d,ix,b,dx,dh
iy,iy,ix,y,ux,ih
w,w,ix,l,b,n
r,ix,ih,r,eh,iy
iy,iy,ix,ux,ih,y
l,bcl,m,v,w,dcl
n,n,m,b,v,dh
gcl,dcl,gcl,n,m,ix
r,eh,r,ih,ix,er
l,l,w,ax,ow,r
ae,ae,eh,ih,ix,ah
ax,ix,ax,l,ah,n
p,p,f,t,b,dh
gcl,kcl,tcl,b,v,pcl
w,w,l,ax,r,el
sh,s,z,sh,jh,tcl
d,sh,t,f,tcl,d
ng,n,ng,m,bcl,ix
iy,iy,ix,y,ih,ey
s,s,z,tcl,dh,dcl
ae,ae,eh,ix,ay,ah
w,n,m,w,ax,l
zh,sh,ch,jh,tcl,s
aa,ao,aa,l,q,ah
r,r,axr,er,aa,ay
t,f,p,t,pcl,th
el,l,ao,el,ow,ax
k,k,t,d,p,g
ix,ix,ih,dx,eh,iy
hh,t,d,p,f,k
er,r,axr,er,ae,aa
k,p,k,b,d,f
ae,ae,eh,r,ay,ey
ae,ae,r,eh,er,axr
ae,ae,eh,ix,ah,ay
ix,ey,eh,r,ih,er
w,n,m,bcl,w,ng
aa,aa,r,ay,q,ao
dcl,dx,dcl,b,v,m
l,l,ao,ah,ax,aa
ih,ix,ih,eh,dx,ax
axr,axr,r,er,ix,eh
q,p,b,pcl,tcl,f
tcl,pcl,tcl,kcl,bcl,dh
aa,aa,ay,ao,ah,aw
m,r,m,v,axr,ix
k,k,g,ix,d,ih
dcl,dcl,bcl,tcl,gcl,n
tcl,f,tcl,pcl,kcl,v
l,l,ao,el,w,ow
tcl,f,t,p,dh,k
k,k,f,t,dh,d
dcl,n,dcl,gcl,m,ng
ax,ix,d,dx,dcl,ih
z,z,s,dh,d,dcl
r,r,er,axr,eh,ih
t,f,t,p,d,s
r,r,axr,er,dx,ax
sh,sh,jh,s,ch,z
axr,ao,aa,ay,ah,ax
kcl,s,k,t,z,kcl
uw,ix,ih,n,ax,dx
q,iy,ux,ih,ix,dx
d,dx,ix,ux,d,b
ah,eh,ae,ay,ah,ax
s,s,z,sh,t,None
p,p,d,pcl,hh,tcl
eh,ae,eh,axr,r,ix
s,s,z,p,sh,jh
ng,n,m,gcl,ng,dcl
sh,sh,ch,jh,tcl,zh
m,m,n,ng,bcl,dcl
iy,iy,y,ix,dcl,gcl
n,l,ax,nx,dh,ao
eh,ae,eh,ey,ix,ih
l,l,aa,ax,ao,ow
ix,ix,ih,ux,dx,iy
ix,iy,ix,ih,y,ey
t,f,t,dh,d,th
aa,ay,aa,ae,ah,r
ih,iy,ih,y,axr,ix
iy,iy,ix,y,ux,ih
s,s,z,ch,sh,t
g,k,g,r,axr,ix
axr,r,dx,axr,ax,er
d,d,b,p,t,f
t,f,t,sh,tcl,p
t,t,f,dh,p,v
hv,p,b,aa,k,ax
m,w,v,m,n,bcl
n,n,dcl,m,dx,bcl
kcl,kcl,f,tcl,pcl,sh
r,r,axr,er,ix,iy
ey,w,eh,ix,ih,q
r,r,er,axr,dx,aa
ix,ix,ih,eh,q,dx
eh,ae,eh,ix,q,ih
r,dx,d,ix,ih,p
ix,ix,ih,ax,l,uh
dx,iy,y,dx,hv,ix
iy,ix,iy,ey,ih,ae
tcl,dcl,n,bcl,gcl,tcl
g,m,ax,n,v,l
l,b,v,l,w,n
dx,dx,nx,ax,ix,r
q,ix,eh,ax,ih,ae
axr,dx,ix,b,v,n
l,l,ao,w,el,aa
aa,ao,aa,l,ah,q
ih,ih,iy,ix,ux,y
dcl,v,l,b,dh,bcl
dcl,dcl,d,tcl,dx,v
axr,r,ix,axr,eh,er
nx,dcl,v,n,m,tcl
ah,ao,l,ah,ax,aa
ae,ae,ay,dx,ah,ix
ux,ix,ux,d,ih,dx
q,ow,ax,l,eh,ah
m,m,w,n,bcl,uw
s,s,z,tcl,t,ch
ax,ax,ah,ow,eh,l
uh,ix,ih,eh,ax,ae
ae,ae,eh,ix,q,ah
n,p,b,dh,v,dx
ax-h,iy,ix,y,dx,n
k,k,p,g,t,d
aw,ae,ay,aa,aw,ah
eh,axr,ix,r,eh,er
ax,l,w,el,ax,ow
iy,iy,ix,ih,ey,y
n,m,n,g,r,ax
v,r,v,dx,b,axr
bcl,f,pcl,tcl,kcl,dcl
ix,iy,ix,y,hv,ey
bcl,bcl,dcl,tcl,m,gcl
el,l,ao,w,ax,el
n,iy,n,y,ix,m
q,l,ax,aa,ao,ay
s,s,z,sh,ch,tcl
s,s,z,tcl,th,t
t,sh,ch,jh,t,k
n,n,m,hv,ng,dcl
r,ix,r,dx,ih,ux
dh,dh,f,tcl,t,kcl
ix,iy,ix,ey,hv,ae
iy,iy,ix,ey,ih,y
ix,iy,ih,ix,y,ux
ao,l,w,ao,el,ow
axr,r,axr,aa,er,dx
f,f,pcl,tcl,kcl,bcl
sh,s,z,sh,jh,ch
s,s,z,ch,tcl,jh
ah,n,ix,m,ax,eh
axr,r,axr,er,dx,b
ix,ix,ih,eh,ux,q
ix,ix,ih,iy,ey,q
ix,iy,ix,ey,ih,ux
d,s,z,tcl,t,d
z,s,z,th,f,tcl
bcl,bcl,v,m,dcl,n
ix,dh,ax,ix,v,m
b,b,p,dh,v,dx
s,s,z,ch,sh,t
aw,ae,eh,ah,aa,ay
tcl,s,z,tcl,t,dcl
v,v,b,dx,ix,r
iy,iy,y,ix,hv,d
ax,r,aa,axr,ah,ax
dcl,n,b,dcl,dh,v
l,w,n,ng,ix,gcl
z,s,z,sh,t,d
aa,r,ah,ay,eh,aa
k,k,t,p,d,f
aa,aa,ao,ah,ay,l
kcl,kcl,tcl,dcl,gcl,pcl
iy,iy,ix,ey,ih,ae
zh,sh,jh,ch,t,zh
ih,ix,ih,ux,iy,r
z,z,s,dh,tcl,dcl
l,l,ao,ow,ah,ax
d,d,t,sh,k,jh
ae,ix,eh,ih,ae,hv
f,f,tcl,th,kcl,v
ix,r,axr,er,dx,ih
er,ae,r,eh,er,axr
b,b,dh,v,p,d
dh,dh,t,f,d,b
t,t,s,z,d,dh
b,f,b,dh,t,p
dx,ix,dx,ih,eh,r
tcl,sh,s,tcl,z,jh
ey,iy,ey,ix,ih,dx
q,n,dcl,dx,ix,ux
iy,iy,ih,ix,dx,ux
n,n,m,ng,en,ix
m,m,n,ix,ae,dh
kcl,tcl,pcl,kcl,f,bcl
ix,ix,iy,y,gcl,ng
d,d,ix,t,n,k
pcl,tcl,pcl,kcl,v,f
d,t,k,dh,p,hh
iy,iy,ih,ix,ey,y
kcl,kcl,tcl,v,gcl,dcl
f,f,pcl,b,th,tcl
ao,ao,w,l,aa,ow
d,d,t,p,sh,b
s,s,z,jh,t,sh
ah,ae,eh,ix,d,ah
em,n,m,ix,ax,l
m,ix,ih,n,m,ax
dcl,dcl,dx,ux,d,y
z,s,z,tcl,t,None
s,s,z,sh,ch,tcl
ah,ay,ah,ae,ix,eh
ow,ax,ow,ix,eh,ah
gcl,tcl,pcl,kcl,dcl,gcl
w,w,l,ao,ax,r
m,n,m,ng,nx,em
kcl,kcl,tcl,v,f,dcl
dx,r,dx,axr,er,b
ih,ah,eh,ax,l,aa
r,axr,r,er,dx,l
v,v,b,w,l,m
l,ah,ax,l,r,ix
ae,ae,eh,ey,ih,ix
dcl,dcl,bcl,v,tcl,gcl
ah,ay,p,aa,b,q
m,m,n,bcl,dcl,l
z,s,z,tcl,None,None
dcl,bcl,dcl,tcl,v,dh
k,k,aa,ao,g,q
ao,ao,l,aa,w,q
s,s,z,sh,tcl,jh
eh,ae,eh,ix,ay,aw
dx,dx,ix,n,d,iy
tcl,pcl,tcl,kcl,bcl,f
s,z,s,th,tcl,v
ao,ao,l,w,ow,aa
eh,eh,ix,ih,ey,ae
ix,ae,ix,eh,ih,ey
s,s,t,f,sh,z
ax,ix,ax,ih,n,dx
dcl,dcl,dh,v,tcl,gcl
kcl,kcl,tcl,dcl,pcl,gcl
eh,eh,ae,ix,ih,ah
z,z,s,d,tcl,sh
er,eh,ix,ih,ey,axr
p,p,k,g,b,t
n,n,m,dcl,v,nx
s,s,z,f,tcl,dh
iy,n,iy,m,y,ix
bcl,dcl,bcl,n,tcl,gcl
f,f,pcl,tcl,kcl,th
k,k,t,p,g,d
s,s,z,tcl,d,None
l,l,el,ao,w,ow
n,iy,m,ix,n,ng
ix,iy,ux,ix,ih,y
el,l,ao,w,ah,q
ey,ey,ih,iy,ix,eh
sh,sh,ch,jh,s,tcl
s,s,z,sh,ch,tcl
iy,iy,y,ix,ih,ux
p,p,b,v,k,n
l,w,n,eh,ae,ng
hv,p,kcl,tcl,pcl,f
ax-h,k,t,sh,p,jh
