True phone,Predicted phone
g,"[('k', 42), ('aa', 11), ('g', 9), ('ay', 8), ('ao', 6)]"
ih,"[('ix', 20), ('eh', 20), ('ey', 17), ('ih', 15), ('iy', 6)]"
axr,"[('axr', 35), ('r', 27), ('er', 21), ('dx', 16), ('eh', 1)]"
kcl,"[('tcl', 28), ('pcl', 27), ('kcl', 25), ('dcl', 7), ('gcl', 4)]"
t,"[('t', 52), ('d', 23), ('s', 11), ('k', 3), ('z', 3)]"
k,"[('k', 79), ('g', 13), ('kcl', 7), ('gcl', 1)]"
g,"[('f', 32), ('k', 23), ('t', 13), ('p', 7), ('hh', 5)]"
dh,"[('t', 34), ('s', 22), ('d', 19), ('z', 15), ('tcl', 5)]"
ae,"[('eh', 29), ('ae', 24), ('ih', 19), ('ix', 10), ('ey', 7)]"
r,"[('r', 23), ('ih', 19), ('ey', 15), ('ix', 11), ('axr', 9)]"
r,"[('r', 60), ('er', 21), ('axr', 13), ('v', 3), ('dx', 1)]"
g,"[('g', 47), ('k', 44), ('hh', 4), ('p', 2), ('dx', 2)]"
r,"[('r', 53), ('axr', 22), ('dx', 7), ('er', 5), ('ix', 4)]"
iy,"[('iy', 28), ('ih', 21), ('ix', 16), ('y', 12), ('ux', 12)]"
d,"[('t', 37), ('d', 35), ('s', 7), ('tcl', 5), ('p', 5)]"
ow,"[('l', 37), ('ax', 15), ('ow', 14), ('el', 9), ('w', 6)]"
m,"[('n', 24), ('m', 22), ('dx', 6), ('ix', 6), ('dcl', 5)]"
tcl,"[('tcl', 38), ('pcl', 30), ('kcl', 13), ('v', 8), ('dcl', 5)]"
r,"[('axr', 38), ('r', 37), ('er', 22), ('dx', 2), ('ax', 1)]"
ao,"[('aa', 35), ('r', 26), ('ao', 13), ('ax', 5), ('l', 4)]"
z,"[('s', 43), ('z', 42), ('t', 5), ('jh', 3), ('sh', 2)]"
s,"[('s', 78), ('z', 21), ('dcl', 1)]"
v,"[('b', 24), ('dh', 21), ('f', 13), ('v', 10), ('pcl', 6)]"
l,"[('v', 26), ('b', 21), ('dh', 14), ('ix', 9), ('d', 8)]"
en,"[('b', 22), ('v', 20), ('m', 13), ('n', 8), ('tcl', 5)]"
ih,"[('iy', 43), ('ix', 21), ('ih', 12), ('ey', 10), ('y', 5)]"
k,"[('k', 67), ('t', 15), ('d', 6), ('g', 4), ('p', 4)]"
eh,"[('r', 55), ('axr', 15), ('er', 11), ('dx', 7), ('aa', 2)]"
ih,"[('ax', 29), ('ix', 24), ('ih', 17), ('l', 7), ('ah', 5)]"
ow,"[('ow', 26), ('ao', 13), ('ax', 13), ('l', 13), ('w', 13)]"
b,"[('w', 32), ('el', 25), ('l', 20), ('ao', 7), ('ow', 6)]"
tcl,"[('tcl', 21), ('kcl', 19), ('sh', 14), ('p', 6), ('f', 6)]"
b,"[('r', 25), ('v', 23), ('b', 23), ('w', 8), ('m', 3)]"
v,"[('v', 43), ('b', 16), ('w', 7), ('r', 7), ('m', 5)]"
p,"[('m', 19), ('tcl', 16), ('pcl', 16), ('kcl', 15), ('dcl', 6)]"
dx,"[('iy', 22), ('dx', 14), ('ix', 12), ('d', 10), ('y', 8)]"
r,"[('r', 32), ('ix', 16), ('dx', 10), ('eh', 9), ('axr', 8)]"
ow,"[('l', 19), ('ow', 18), ('ax', 15), ('ah', 8), ('ao', 6)]"
ah,"[('ah', 17), ('ow', 13), ('ax', 13), ('aa', 11), ('eh', 6)]"
m,"[('n', 40), ('m', 28), ('w', 9), ('bcl', 7), ('ng', 7)]"
ey,"[('ix', 18), ('ae', 15), ('eh', 12), ('n', 12), ('ih', 11)]"
n,"[('n', 36), ('m', 17), ('dcl', 6), ('dx', 6), ('nx', 6)]"
f,"[('f', 48), ('dh', 12), ('b', 12), ('p', 11), ('th', 6)]"
q,"[('ih', 28), ('ix', 20), ('hv', 11), ('dx', 10), ('iy', 10)]"
ih,"[('iy', 22), ('ey', 16), ('hv', 15), ('ix', 12), ('ae', 8)]"
dcl,"[('dcl', 26), ('d', 13), ('dx', 13), ('hv', 9), ('zh', 8)]"
r,"[('ix', 20), ('r', 15), ('ae', 14), ('eh', 12), ('dx', 7)]"
r,"[('r', 49), ('axr', 17), ('er', 9), ('ix', 6), ('dx', 6)]"
iy,"[('iy', 67), ('ix', 13), ('y', 5), ('ih', 5), ('hv', 2)]"
p,"[('p', 37), ('b', 25), ('dh', 15), ('v', 4), ('dx', 4)]"
ey,"[('ey', 41), ('eh', 21), ('ae', 14), ('ih', 7), ('ay', 6)]"
w,"[('l', 28), ('ax', 24), ('ow', 12), ('w', 7), ('ah', 6)]"
r,"[('r', 50), ('er', 14), ('axr', 10), ('ae', 9), ('eh', 9)]"
dcl,"[('dcl', 67), ('tcl', 13), ('dx', 6), ('jh', 2), ('pcl', 2)]"
r,"[('r', 59), ('er', 20), ('axr', 13), ('eh', 4), ('ih', 2)]"
v,"[('dcl', 28), ('v', 21), ('tcl', 15), ('gcl', 10), ('dh', 7)]"
l,"[('l', 29), ('ax', 13), ('v', 9), ('m', 7), ('dh', 7)]"
kcl,"[('kcl', 51), ('tcl', 25), ('gcl', 11), ('v', 4), ('dh', 3)]"
z,"[('z', 82), ('s', 6), ('ix', 3), ('tcl', 3), ('dh', 2)]"
w,"[('ao', 42), ('w', 23), ('l', 11), ('aa', 7), ('ow', 4)]"
m,"[('m', 39), ('n', 21), ('l', 10), ('dh', 7), ('ax', 4)]"
kcl,"[('kcl', 24), ('tcl', 20), ('f', 17), ('pcl', 15), ('v', 12)]"
k,"[('k', 56), ('t', 13), ('p', 10), ('d', 7), ('g', 4)]"
r,"[('r', 53), ('axr', 22), ('er', 17), ('v', 3), ('l', 1)]"
oy,"[('ao', 17), ('l', 15), ('ah', 15), ('oy', 12), ('aa', 11)]"
w,"[('w', 61), ('ao', 14), ('r', 5), ('v', 3), ('eh', 3)]"
iy,"[('iy', 33), ('ih', 18), ('ix', 17), ('y', 8), ('ux', 7)]"
s,"[('s', 84), ('z', 14), ('tcl', 2)]"
eh,"[('ae', 62), ('eh', 12), ('ay', 9), ('ey', 5), ('ah', 4)]"
r,"[('r', 40), ('ix', 11), ('iy', 11), ('axr', 8), ('er', 7)]"
r,"[('ay', 25), ('ae', 17), ('r', 9), ('g', 6), ('aa', 5)]"
l,"[('ao', 37), ('l', 14), ('aa', 12), ('ah', 9), ('ow', 7)]"
ey,"[('ey', 54), ('ih', 17), ('iy', 15), ('ix', 9), ('eh', 4)]"
dcl,"[('dcl', 66), ('tcl', 13), ('dx', 8), ('gcl', 4), ('n', 2)]"
d,"[('d', 24), ('f', 11), ('b', 11), ('t', 11), ('v', 9)]"
axr,"[('axr', 23), ('r', 19), ('ix', 15), ('er', 8), ('eh', 8)]"
m,"[('n', 53), ('ix', 17), ('ih', 8), ('nx', 4), ('ux', 3)]"
eh,"[('ix', 26), ('eh', 23), ('ae', 19), ('ih', 13), ('ah', 3)]"
bcl,"[('dcl', 51), ('bcl', 34), ('tcl', 5), ('v', 5), ('gcl', 5)]"
aa,"[('l', 30), ('aa', 19), ('ao', 15), ('ah', 10), ('ow', 9)]"
uw,"[('l', 35), ('w', 26), ('el', 18), ('ow', 4), ('ao', 3)]"
ae,"[('ae', 23), ('ix', 18), ('eh', 16), ('ih', 9), ('n', 8)]"
w,"[('w', 53), ('l', 19), ('ao', 10), ('el', 6), ('r', 3)]"
kcl,"[('sh', 24), ('z', 19), ('kcl', 13), ('jh', 11), ('k', 7)]"
dh,"[('v', 23), ('dh', 20), ('dcl', 12), ('bcl', 10), ('m', 8)]"
ih,"[('ih', 33), ('ix', 17), ('iy', 17), ('y', 9), ('ux', 8)]"
ah,"[('ah', 20), ('ae', 17), ('ay', 13), ('eh', 7), ('aa', 6)]"
dx,"[('v', 16), ('m', 13), ('b', 11), ('ax', 10), ('dx', 9)]"
er,"[('axr', 41), ('r', 37), ('er', 15), ('dx', 2), ('v', 1)]"
t,"[('t', 38), ('k', 17), ('f', 14), ('p', 11), ('d', 7)]"
z,"[('s', 67), ('z', 32), ('tcl', 1)]"
q,"[('ow', 28), ('q', 11), ('aw', 10), ('ax', 9), ('ah', 9)]"
ax-h,"[('dcl', 43), ('v', 15), ('tcl', 10), ('n', 8), ('dx', 7)]"
s,"[('s', 75), ('z', 23), ('p', 1), ('tcl', 1)]"
q,"[('p', 12), ('b', 9), ('ix', 9), ('dh', 7), ('t', 7)]"
ih,"[('ix', 24), ('eh', 22), ('ih', 17), ('ae', 17), ('ah', 4)]"
n,"[('ax', 19), ('ih', 15), ('ix', 13), ('eh', 11), ('l', 10)]"
q,"[('ah', 20), ('aa', 17), ('l', 10), ('ao', 9), ('ax', 8)]"
ix,"[('ix', 40), ('ih', 19), ('n', 11), ('eh', 8), ('ax', 4)]"
ay,"[('ay', 67), ('eh', 10), ('ah', 7), ('ix', 4), ('ae', 3)]"
dx,"[('iy', 31), ('y', 19), ('ux', 14), ('ix', 9), ('ih', 9)]"
l,"[('iy', 27), ('ix', 19), ('ey', 13), ('l', 13), ('ih', 10)]"
aw,"[('aa', 27), ('ae', 22), ('aw', 17), ('ah', 12), ('eh', 7)]"
ae,"[('ae', 49), ('eh', 18), ('hh', 5), ('ay', 4), ('ix', 4)]"
r,"[('r', 47), ('axr', 28), ('er', 19), ('eh', 2), ('ih', 2)]"
hh,"[('f', 22), ('kcl', 11), ('dh', 8), ('b', 8), ('k', 7)]"
iy,"[('ix', 21), ('l', 13), ('ih', 13), ('ey', 13), ('iy', 11)]"
tcl,"[('dx', 21), ('b', 14), ('v', 13), ('d', 12), ('ix', 5)]"
w,"[('ah', 27), ('l', 14), ('ax', 13), ('eh', 8), ('ow', 7)]"
n,"[('n', 39), ('dcl', 8), ('m', 8), ('tcl', 7), ('dx', 6)]"
n,"[('dcl', 40), ('gcl', 14), ('m', 9), ('bcl', 8), ('n', 7)]"
dcl,"[('dx', 15), ('ix', 13), ('b', 9), ('n', 8), ('g', 7)]"
ao,"[('ao', 28), ('l', 26), ('el', 14), ('w', 13), ('ow', 10)]"
n,"[('n', 36), ('m', 14), ('ng', 13), ('gcl', 4), ('ih', 4)]"
pcl,"[('v', 22), ('dcl', 17), ('bcl', 13), ('gcl', 10), ('tcl', 10)]"
axr,"[('axr', 31), ('r', 21), ('er', 12), ('ix', 11), ('eh', 7)]"
t,"[('s', 78), ('z', 16), ('jh', 2), ('t', 2), ('ax-h', 1)]"
ix,"[('ix', 43), ('ih', 20), ('ux', 5), ('eh', 4), ('axr', 4)]"
iy,"[('n', 21), ('dx', 11), ('iy', 9), ('ix', 8), ('hv', 8)]"
dx,"[('dx', 36), ('r', 32), ('axr', 17), ('er', 5), ('v', 2)]"
eh,"[('eh', 20), ('ix', 19), ('r', 14), ('axr', 10), ('ih', 9)]"
tcl,"[('tcl', 35), ('pcl', 21), ('dcl', 17), ('kcl', 16), ('bcl', 6)]"
dcl,"[('pcl', 43), ('bcl', 27), ('dcl', 13), ('tcl', 10), ('gcl', 3)]"
kcl,"[('v', 21), ('kcl', 19), ('tcl', 11), ('b', 10), ('gcl', 9)]"
p,"[('f', 37), ('p', 34), ('dh', 9), ('th', 6), ('b', 4)]"
gcl,"[('dcl', 48), ('gcl', 13), ('tcl', 10), ('bcl', 8), ('n', 7)]"
r,"[('r', 74), ('er', 11), ('axr', 10), ('v', 3), ('dx', 1)]"
ih,"[('ih', 51), ('axr', 13), ('iy', 12), ('ix', 7), ('eh', 6)]"
ix,"[('hv', 20), ('iy', 16), ('ix', 15), ('ey', 13), ('w', 7)]"
pcl,"[('pcl', 41), ('tcl', 28), ('kcl', 15), ('bcl', 8), ('dcl', 6)]"
k,"[('sh', 41), ('s', 17), ('jh', 16), ('ch', 10), ('k', 5)]"
ay,"[('ey', 34), ('eh', 20), ('ae', 13), ('ay', 11), ('ix', 7)]"
ao,"[('aa', 40), ('ao', 14), ('q', 10), ('ah', 7), ('l', 6)]"
tcl,"[('n', 22), ('dx', 20), ('nx', 17), ('v', 11), ('m', 10)]"
f,"[('f', 84), ('v', 4), ('th', 3), ('pcl', 3), ('dh', 2)]"
tcl,"[('s', 82), ('z', 7), ('tcl', 5), ('th', 2), ('f', 1)]"
ah,"[('l', 34), ('ax', 24), ('ix', 9), ('ow', 6), ('ah', 5)]"
r,"[('r', 55), ('er', 28), ('axr', 15), ('aa', 2)]"
er,"[('r', 41), ('axr', 29), ('er', 27), ('dx', 2), ('v', 1)]"
n,"[('n', 59), ('ng', 10), ('en', 8), ('iy', 5), ('m', 4)]"
tcl,"[('dh', 19), ('tcl', 16), ('dcl', 14), ('v', 10), ('z', 7)]"
axr,"[('r', 19), ('axr', 16), ('er', 11), ('aa', 9), ('ax', 7)]"
ae,"[('ae', 40), ('eh', 18), ('ah', 8), ('ax', 7), ('ow', 5)]"
eh,"[('eh', 20), ('ix', 17), ('ih', 13), ('dx', 8), ('r', 8)]"
v,"[('dcl', 51), ('bcl', 23), ('v', 6), ('gcl', 4), ('tcl', 4)]"
axr,"[('axr', 45), ('er', 24), ('r', 22), ('eh', 3), ('aa', 3)]"
r,"[('iy', 23), ('ey', 23), ('ix', 17), ('ih', 17), ('ux', 8)]"
ay,"[('ay', 63), ('ae', 13), ('eh', 7), ('ah', 4), ('oy', 3)]"
t,"[('t', 53), ('k', 28), ('p', 5), ('f', 4), ('d', 3)]"
sh,"[('sh', 65), ('ch', 9), ('s', 6), ('tcl', 5), ('t', 4)]"
r,"[('aa', 42), ('ao', 16), ('r', 8), ('ay', 6), ('l', 5)]"
ih,"[('ae', 38), ('eh', 16), ('ix', 10), ('ih', 9), ('hv', 7)]"
bcl,"[('bcl', 75), ('dcl', 9), ('tcl', 5), ('b', 3), ('v', 3)]"
l,"[('l', 34), ('w', 27), ('el', 9), ('ax', 8), ('ow', 7)]"
ey,"[('ey', 21), ('ih', 18), ('ae', 17), ('ix', 11), ('iy', 11)]"
ix,"[('ix', 23), ('d', 18), ('dx', 14), ('z', 8), ('dh', 7)]"
ux,"[('iy', 53), ('ix', 11), ('ey', 11), ('ih', 7), ('y', 6)]"
ey,"[('iy', 55), ('ey', 17), ('ih', 9), ('ix', 8), ('q', 3)]"
dx,"[('dx', 48), ('ix', 11), ('d', 8), ('n', 6), ('nx', 6)]"
ix,"[('ix', 23), ('ae', 21), ('eh', 16), ('ih', 10), ('b', 5)]"
l,"[('l', 22), ('w', 20), ('b', 16), ('v', 13), ('ao', 9)]"
z,"[('s', 78), ('z', 15), ('t', 5), ('tcl', 1), ('d', 1)]"
l,"[('w', 43), ('l', 21), ('v', 9), ('b', 5), ('m', 4)]"
k,"[('k', 47), ('g', 10), ('d', 8), ('b', 7), ('kcl', 6)]"
r,"[('dx', 38), ('r', 37), ('axr', 10), ('er', 7), ('ax', 2)]"
dcl,"[('dcl', 89), ('dx', 4), ('tcl', 3), ('pcl', 1), ('m', 1)]"
ih,"[('ih', 35), ('iy', 17), ('ix', 13), ('y', 10), ('ux', 9)]"
dcl,"[('kcl', 30), ('tcl', 14), ('v', 9), ('dcl', 7), ('d', 6)]"
n,"[('n', 54), ('en', 7), ('m', 7), ('dcl', 6), ('ng', 6)]"
w,"[('w', 25), ('l', 24), ('ao', 19), ('ax', 8), ('el', 7)]"
f,"[('f', 92), ('v', 2), ('b', 2), ('tcl', 1), ('dh', 1)]"
l,"[('ax', 26), ('l', 25), ('w', 10), ('ow', 7), ('uh', 5)]"
w,"[('aa', 33), ('ao', 18), ('l', 10), ('ay', 5), ('ow', 5)]"
l,"[('iy', 24), ('ix', 18), ('ih', 11), ('n', 9), ('l', 8)]"
tcl,"[('dcl', 70), ('gcl', 17), ('tcl', 7), ('bcl', 2), ('n', 1)]"
ax-h,"[('dx', 31), ('ix', 14), ('nx', 12), ('b', 7), ('p', 6)]"
hv,"[('b', 30), ('p', 12), ('dh', 11), ('dx', 9), ('m', 4)]"
b,"[('b', 18), ('n', 18), ('dx', 12), ('v', 8), ('dcl', 8)]"
kcl,"[('tcl', 19), ('pcl', 16), ('b', 10), ('v', 10), ('dcl', 9)]"
kcl,"[('kcl', 43), ('pcl', 28), ('tcl', 19), ('bcl', 4), ('f', 2)]"
iy,"[('eh', 18), ('ay', 17), ('ix', 15), ('r', 7), ('l', 6)]"
eh,"[('eh', 27), ('ae', 25), ('hv', 10), ('ix', 10), ('ih', 9)]"
ao,"[('l', 24), ('ao', 21), ('aa', 11), ('ax', 8), ('q', 6)]"
ao,"[('ao', 35), ('aa', 18), ('r', 10), ('l', 10), ('w', 5)]"
ix,"[('ix', 34), ('ax', 13), ('l', 11), ('z', 10), ('dh', 5)]"
ng,"[('n', 28), ('d', 11), ('iy', 10), ('ix', 8), ('ng', 6)]"
l,"[('l', 46), ('el', 33), ('ax', 7), ('w', 5), ('ow', 2)]"
k,"[('p', 35), ('b', 30), ('k', 11), ('hh', 4), ('ix', 3)]"
kcl,"[('kcl', 46), ('f', 19), ('k', 7), ('s', 6), ('gcl', 4)]"
y,"[('iy', 61), ('y', 16), ('ix', 8), ('ey', 5), ('ih', 3)]"
ae,"[('ae', 31), ('ix', 25), ('eh', 19), ('ih', 5), ('dx', 3)]"
l,"[('l', 44), ('ax', 18), ('ah', 9), ('ow', 5), ('el', 4)]"
q,"[('ix', 33), ('dx', 15), ('ih', 11), ('ax', 6), ('eh', 6)]"
v,"[('pcl', 24), ('v', 16), ('tcl', 14), ('f', 10), ('dcl', 8)]"
m,"[('n', 47), ('m', 31), ('ng', 6), ('dcl', 4), ('en', 4)]"
er,"[('r', 56), ('axr', 12), ('er', 7), ('w', 6), ('v', 6)]"
z,"[('s', 45), ('z', 30), ('sh', 13), ('jh', 4), ('zh', 3)]"
ae,"[('eh', 29), ('ih', 18), ('ix', 18), ('ae', 15), ('ey', 9)]"
dx,"[('dx', 25), ('ih', 18), ('ix', 13), ('d', 12), ('n', 7)]"
ih,"[('eh', 21), ('ae', 15), ('ah', 13), ('ax', 11), ('ix', 10)]"
f,"[('f', 71), ('pcl', 9), ('tcl', 5), ('v', 3), ('th', 3)]"
sh,"[('sh', 74), ('ch', 9), ('jh', 9), ('tcl', 6), ('z', 1)]"
ow,"[('l', 36), ('ao', 27), ('w', 8), ('el', 7), ('ow', 5)]"
g,"[('k', 31), ('g', 31), ('p', 16), ('d', 7), ('dx', 3)]"
d,"[('d', 58), ('dx', 9), ('t', 9), ('p', 5), ('tcl', 4)]"
l,"[('l', 43), ('el', 19), ('ax', 14), ('ow', 9), ('ao', 5)]"
ix,"[('ix', 26), ('ih', 14), ('iy', 12), ('dx', 9), ('ey', 7)]"
l,"[('l', 41), ('ax', 17), ('w', 11), ('ow', 6), ('el', 6)]"
tcl,"[('tcl', 36), ('pcl', 33), ('kcl', 22), ('dcl', 4), ('bcl', 2)]"
l,"[('l', 27), ('ax', 14), ('el', 10), ('ao', 9), ('ah', 9)]"
iy,"[('iy', 44), ('ix', 14), ('hv', 9), ('ux', 7), ('y', 6)]"
n,"[('n', 49), ('m', 29), ('ng', 5), ('nx', 5), ('en', 3)]"
w,"[('w', 68), ('l', 18), ('el', 6), ('iy', 2), ('ix', 2)]"
dcl,"[('tcl', 32), ('pcl', 23), ('kcl', 12), ('dcl', 9), ('v', 7)]"
gcl,"[('dcl', 20), ('m', 17), ('tcl', 15), ('n', 12), ('gcl', 9)]"
r,"[('ix', 20), ('r', 15), ('ax', 7), ('eh', 6), ('axr', 6)]"
dcl,"[('dcl', 59), ('tcl', 12), ('bcl', 9), ('pcl', 5), ('v', 3)]"
dh,"[('dh', 36), ('f', 14), ('t', 10), ('d', 10), ('p', 7)]"
ax,"[('dx', 20), ('nx', 12), ('ix', 10), ('v', 10), ('r', 10)]"
ow,"[('ow', 23), ('ax', 18), ('ah', 12), ('ao', 7), ('oy', 7)]"
g,"[('g', 32), ('k', 10), ('d', 6), ('n', 5), ('b', 5)]"
gcl,"[('gcl', 24), ('r', 12), ('m', 10), ('dx', 6), ('dcl', 6)]"
n,"[('n', 42), ('m', 41), ('nx', 5), ('en', 5), ('ng', 3)]"
eh,"[('ay', 32), ('ah', 20), ('aa', 9), ('ax', 6), ('ae', 6)]"
ow,"[('l', 40), ('ao', 17), ('w', 12), ('ow', 10), ('el', 9)]"
n,"[('n', 29), ('dcl', 18), ('gcl', 11), ('m', 11), ('bcl', 7)]"
ix,"[('n', 21), ('v', 13), ('dx', 11), ('ix', 11), ('m', 8)]"
t,"[('d', 27), ('b', 14), ('t', 9), ('dh', 7), ('p', 7)]"
kcl,"[('kcl', 42), ('pcl', 30), ('tcl', 21), ('bcl', 3), ('dh', 1)]"
